Component,Qty,Link
Linear Rails,3,https://www.e-gizmo.net/gizmoshop/index.php?route=product/product&product_id=50638&search=THK+RSH12ZM&description=true
Z-Axis Ball Screw Actuator Rail,1,https://in.misumi-ec.com/vona2/detail/221303450796/?KWSearch=Ball%20Screw%20Actuator%20Rail&searchFlow=results2products&list=PageSearchResult
BTT SKR Mini E3 V3,1,https://www.alibaba.com/product-detail/Versatile-SKR-MINI-E3-V3-0_1601160765263.html?spm=a2700.galleryofferlist.normal_offer.d_title.5a2613a0rfERRf
FYSTEC Mini12864 RGB LCD,1,https://www.fysetc.com/products/mini-12864-smart-display-mini12864-lcd-display-screen-128x64-5v-supports-marlin-diy-with-sd-card-for-skrs-3d-printer-accessories
"Stepper Motors (NEMA 17, 48mm)",4,https://robocraze.com/products/17hs4401-nema17-stepper-motor-40mm
24V 16.7A 400W Power Supply,1,https://www.alibaba.com/product-detail/LED-Strip-Light-Power-Supply-DC24V_1600772332307.html
Dual Gear Drive Extruder (Clone),1,https://www.amazon.in/N-O-extruder/dp/B08D9CNHVN/ref=sr_1_26?crid=2C9UNWUIHV316&dib=eyJ2IjoiMSJ9.tPPoJaDXeiswNl5xv6-Xrvi1KSpHGkLXwI70-RQ53JPYWZy3b2yCQrtmS5GS7bCwXZnVxUh6tgdttRIkepIu_D-p3tBoVrZ_ZCvktohdqGV1MyGw8tDYBgOsJoKLgktZ8XkdaEZwYoTd-fyhkMlXz4EaE-6ODq-6tm3qZ-18Q8ERCZ-Y00aL8oQglLK3Hr9qRWdX2c3EyTDrDP6akkuPL6_4Dz_wWp7FkWcpjicTjrRGS-JHqg0SDr3fytVTqgnu7g1-KWnDNjHOaF99TRVL1oOSwC56e1-J6mmpCaJvpTgBKIA9R_e0kdi85UJfJjgnSf2zIiS3j2ddbW1k5ziqsM2OCh46c-4Xp2ZGsnYXu-zC6BvwxVLUEkE4xdUollMiLAeV6CSVvJu68C8hZocnAcRiVQqBfyo1xXE7kpVB1kvYENoQEzshRF-D8I3UJobh.tsPhu3wXhGetaAbLTR9RKIhyDUvmdQ_JLYhGdRdQH2s&dib_tag=se&keywords=R*+Upgraded+Replacement+Aluminum+MK8+Extruder+Feeder+Drive+1.75mm+for+CR-10+CR-10S+Ender-3+Ender-3+PRO+%28Red+Dual+Gear%29&nsdOptOutParam=true&qid=1739801126&sprefix=r+upgraded+replacement+aluminum+mk8+extruder+feeder+drive+1.75mm+for+cr-10+cr-10s+ender-3+ender-3+pro+red+dual+gear+%2Caps%2C259&sr=8-26
Capricorn PTFE Tube (Set),1,https://www.amazon.in/HASTHIP%C2%AE-Upgrade-Capricorn-Pneumatic-Fittings/dp/B0BHSL3G6D/ref=sr_1_1?crid=53RI9AXUXNVG&dib=eyJ2IjoiMSJ9.DoY3vYP7NmfkIMpQoyMnNL4IlP5TaEi4_nlpbCParvy53pb5Q1FsU31_-u2mfkmvge1gs1_m5_zP4yyHaIneft6FzscCfVldiyShleYK5uazwm_SYMb6tfgNDQQIfRc4rQ62QpPXpaeRNcCLPQBW_9nkuehvtwbm41VYRG5G4WtpVIqGblt2lvOGYFzSCKDS1azBUir-yhUnBpxJm8V9vdqw8K8U078sru1QwRP37uJJ718N_MQOjh7z2ZwAMT79ZCEq5JYDxckEwqJRwqmH-asJwV3CTROm-FkmhHHuy_Y.GvKWjgFnS4ApkzLriTP7li9eB6OPtX6Mp6tU_MMzxSo&dib_tag=se&keywords=3D+Printer+Kit+with+for+Capricorn+Premium+XS+Bowden+Tubing+1M%2C+PTFE+Tube+%2C+for+Ender+3%2F3+Pro%2F5+CR-10+Series%2F10S%2F20%2F20+Pro&nsdOptOutParam=true&qid=1739808097&sprefix=3d+printer+kit+with+for+capricorn+premium+xs+bowden+tubing+1m%2C+ptfe+tube+%2C+for+ender+3%2F3+pro%2F5+cr-10+series%2F10s%2F20%2F20+pro%2Caps%2C476&sr=8-1
Heatbed (Ender 3),1,https://www.alibaba.com/product-detail/Ender-3-235-235-3mm-Aluminium_1601253815630.html?spm=a2700.galleryofferlist.normal_offer.d_title.10c413a0CXvn71
Heatbed Knob Set,1,https://www.amazon.in/3DINNOVATIONS-Heatbed-Spring-Leveling-Printers/dp/B088KQJZGZ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.29ZQRkIggz4VjfatnXH0JJeayzmH30I_OidMp8nGPLyu-8Yt8rZR5h1r00cbvT7RRw99sEUiNcuzHD8f18W77xCEnGrr3_-C82dI8qs4x_qh0dV-ALrGll4B2iXbivydL6DiubxPgPqjlnN7_DHFpwqpKbQ-ab_7dnGD_OcYZ201cFfqAWBzfHQXqjhrcpAfDu4JEPhFozj2lCiKIa9X7-8bbKYODG19LaAs4NSUhPn76srckE7kZWQ1iuf52NJIZPhmnZP4jbPY_SbXYjldJgU96GdPRHPxx0G9_qo7sQeQh1G0NZivCSPfSUCWvVZU5NdFNu15JAdvxMVkIuqYXrrCkHXqxFgkYPsbqWftF69IIh6aSnLoCPRC6D2T31i-IrBaUZMMlnxd6R8PCwwkNjwyKJtBN3QjB31nhlPa5UgMrszmexaXDEFg1Lq2K0pV.KtmK3MPSho3k37_Llv7fIPlgbHlmoWSkgUGeWoxxX-M&dib_tag=se&keywords=3D+Printer+Parts+Heated+Bed+Spring+Leveling+Kit+Adjustment+Nut%2BSprings%2B+Screw+Heatbed+Kit+For+CR-10+Ender-3+MK3+hotbed&nsdOptOutParam=true&qid=1739882876&sr=8-1
